Kategoria: Wszystko

Miesiąc,literally me: (Cały świat)
2011-01,7
2011-02,7
2011-03,7
2011-04,7
2011-05,6
2011-06,6
2011-07,5
2011-08,4
2011-09,6
2011-10,9
2011-11,8
2011-12,8
2012-01,8
2012-02,7
2012-03,6
2012-04,7
2012-05,8
2012-06,9
2012-07,9
2012-08,8
2012-09,7
2012-10,9
2012-11,9
2012-12,10
2013-01,14
2013-02,9
2013-03,9
2013-04,10
2013-05,8
2013-06,9
2013-07,8
2013-08,10
2013-09,9
2013-10,9
2013-11,10
2013-12,11
2014-01,10
2014-02,7
2014-03,10
2014-04,11
2014-05,8
2014-06,12
2014-07,12
2014-08,12
2014-09,9
2014-10,9
2014-11,10
2014-12,12
2015-01,9
2015-02,13
2015-03,14
2015-04,13
2015-05,12
2015-06,11
2015-07,12
2015-08,12
2015-09,16
2015-10,14
2015-11,13
2015-12,15
2016-01,18
2016-02,20
2016-03,28
2016-04,31
2016-05,26
2016-06,27
2016-07,23
2016-08,21
2016-09,21
2016-10,21
2016-11,22
2016-12,22
2017-01,21
2017-02,24
2017-03,23
2017-04,24
2017-05,22
2017-06,21
2017-07,23
2017-08,22
2017-09,26
2017-10,29
2017-11,24
2017-12,26
2018-01,23
2018-02,24
2018-03,23
2018-04,21
2018-05,23
2018-06,21
2018-07,20
2018-08,21
2018-09,26
2018-10,23
2018-11,24
2018-12,27
2019-01,26
2019-02,30
2019-03,29
2019-04,28
2019-05,29
2019-06,29
2019-07,29
2019-08,28
2019-09,31
2019-10,28
2019-11,31
2019-12,32
2020-01,31
2020-02,26
2020-03,34
2020-04,36
2020-05,34
2020-06,34
2020-07,38
2020-08,43
2020-09,43
2020-10,37
2020-11,39
2020-12,41
2021-01,36
2021-02,34
2021-03,38
2021-04,34
2021-05,42
2021-06,39
2021-07,39
2021-08,38
2021-09,39
2021-10,40
2021-11,40
2021-12,44
2022-01,48
2022-02,48
2022-03,52
2022-04,61
2022-05,60
2022-06,68
2022-07,64
2022-08,61
2022-09,69
2022-10,78
2022-11,80
2022-12,85
2023-01,78
2023-02,78
2023-03,80
2023-04,83
2023-05,76
2023-06,69
2023-07,100
2023-08,100
2023-09,80
2023-10,76
2023-11,75
2023-12,71
2024-01,68
2024-02,70
2024-03,69
2024-04,71
2024-05,65
2024-06,61
