Kategoria: Wszystko

Miesiąc,sigma male: (Cały świat)
2011-01,1
2011-02,<1
2011-03,0
2011-04,0
2011-05,<1
2011-06,0
2011-07,0
2011-08,1
2011-09,0
2011-10,0
2011-11,<1
2011-12,1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,1
2013-03,<1
2013-04,1
2013-05,<1
2013-06,<1
2013-07,<1
2013-08,<1
2013-09,<1
2013-10,1
2013-11,<1
2013-12,<1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,<1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,<1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,1
2018-06,1
2018-07,2
2018-08,1
2018-09,1
2018-10,1
2018-11,3
2018-12,2
2019-01,2
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,1
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,2
2020-07,2
2020-08,6
2020-09,6
2020-10,5
2020-11,4
2020-12,3
2021-01,11
2021-02,18
2021-03,19
2021-04,16
2021-05,23
2021-06,31
2021-07,62
2021-08,53
2021-09,49
2021-10,56
2021-11,52
2021-12,52
2022-01,58
2022-02,54
2022-03,47
2022-04,47
2022-05,51
2022-06,51
2022-07,50
2022-08,46
2022-09,42
2022-10,43
2022-11,63
2022-12,98
2023-01,100
2023-02,78
2023-03,63
2023-04,59
2023-05,49
2023-06,51
2023-07,49
2023-08,48
2023-09,47
2023-10,45
2023-11,43
2023-12,47
2024-01,39
2024-02,38
2024-03,40
2024-04,40
2024-05,41
2024-06,38
